Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
13/04/2015,TCS,EQ,2653.75,2664,2665,2628,2653.85,2655.5,2650.09,654321,1.73401E+14,54293,451036,0.6893
15/04/2015,TCS,EQ,2655.5,2654.7,2713.9,2609.4,2618.95,2627.75,2646.26,1456967,3.85551E+14,74856,927588,0.6367
16/04/2015,TCS,EQ,2627.75,2626.95,2627,2571.35,2574,2582.8,2589.79,1608785,4.16642E+14,71768,1002627,0.6232
17/04/2015,TCS,EQ,2582.8,2557.1,2560,2470,2473.9,2474.85,2495.54,4834371,1.20643E+15,167402,2989132,0.6183
20/04/2015,TCS,EQ,2474.85,2480.05,2483.9,2424.85,2426,2428.8,2439.46,1445361,3.5259E+14,84591,916671,0.6342
21/04/2015,TCS,EQ,2428.8,2428.8,2452,2401,2427.05,2427.05,2430.81,1273016,3.09447E+14,83843,816116,0.6411
22/04/2015,TCS,EQ,2427.05,2431.5,2473,2407.55,2470.6,2445.1,2428.26,2093406,5.08334E+14,101821,1643446,0.7851
23/04/2015,TCS,EQ,2445.1,2472,2479.8,2431.7,2455,2457.25,2460.81,2171495,5.34364E+14,80541,1743765,0.803
24/04/2015,TCS,EQ,2457.25,2455.3,2514,2447.55,2509.6,2493.05,2488.25,1812579,4.51015E+14,130453,1306431,0.7208
27/04/2015,TCS,EQ,2493.05,2499.5,2520,2486,2500,2500.2,2501.44,1366526,3.41828E+14,81966,986807,0.7221
28/04/2015,TCS,EQ,2500.2,2510,2510,2455.1,2493,2495,2477.16,1544149,3.82511E+14,128979,1197833,0.7757
29/04/2015,TCS,EQ,2495,2484,2495,2451.05,2481,2487.3,2472.31,1009810,2.49656E+14,100184,626278,0.6202
30/04/2015,TCS,EQ,2487.3,2480,2490,2427.1,2476,2463.7,2461.06,1869027,4.59978E+14,101021,1353129,0.724
4/05/2015,TCS,EQ,2463.7,2491,2504.8,2457.2,2482.25,2481.55,2476.14,945315,2.34074E+14,83359,655734,0.6937
5/05/2015,TCS,EQ,2481.55,2501,2536.45,2500,2519,2517.85,2518.94,1627535,4.09966E+14,69702,1015019,0.6237
6/05/2015,TCS,EQ,2517.85,2515,2515,2455.8,2463,2463.05,2468.46,1697203,4.18948E+14,97392,1156742,0.6816
7/05/2015,TCS,EQ,2463.05,2464.9,2553.75,2453.7,2550,2545.25,2522.63,1602514,4.04256E+14,63417,1086092,0.6777
8/05/2015,TCS,EQ,2545.25,2560,2588,2516.3,2530,2527.25,2552.07,1501832,3.83279E+14,53709,1023782,0.6817
11/05/2015,TCS,EQ,2527.25,2535,2563.05,2525,2559,2556,2550.07,1286541,3.28077E+14,73023,931788,0.7243
12/05/2015,TCS,EQ,2556,2560,2565,2513,2523.95,2522.9,2524.91,1233693,3.11496E+14,71964,949366,0.7695
13/05/2015,TCS,EQ,2522.9,2547,2547,2480.45,2523.1,2515.4,2510.43,931887,2.33944E+14,53692,473256,0.5078
14/05/2015,TCS,EQ,2515.4,2520,2520,2485,2499,2499.25,2495.09,654525,1.6331E+14,40174,381895,0.5835
15/05/2015,TCS,EQ,2499.25,2515,2532.4,2501,2511,2511.15,2512.17,730727,1.83571E+14,32934,515976,0.7061
18/05/2015,TCS,EQ,2511.15,2514.1,2525.25,2497.1,2515.15,2520.4,2505.41,2253876,5.64689E+14,50845,2006146,0.8901
19/05/2015,TCS,EQ,2520.4,2519.4,2530,2496.75,2512,2512.7,2511.97,978861,2.45887E+14,37527,686093,0.7009
20/05/2015,TCS,EQ,2512.7,2520,2569.9,2516.9,2557,2557.05,2550.08,948907,2.41979E+14,41995,571725,0.6025
21/05/2015,TCS,EQ,2557.05,2557,2580,2548.15,2551.9,2555.5,2565.83,789789,2.02646E+14,40459,563782,0.7138
22/05/2015,TCS,EQ,2555.5,2550,2628.75,2539.25,2621.8,2617.9,2594.64,1345816,3.49191E+14,52428,992008,0.7371
25/05/2015,TCS,EQ,2617.9,2620,2636.9,2585.7,2600.05,2601,2606.03,491489,1.28083E+14,30375,263444,0.536
26/05/2015,TCS,EQ,2601,2605,2623.25,2588.9,2614.95,2608.85,2610.17,980870,2.56024E+14,34315,705361,0.7191
27/05/2015,TCS,EQ,2608.85,2608,2633.15,2592,2610,2615.25,2615.75,810345,2.11966E+14,50501,600904,0.7415
28/05/2015,TCS,EQ,2615.25,2603.9,2623,2582.25,2615.9,2609.5,2606.6,1381804,3.60181E+14,52267,1070716,0.7749
29/05/2015,TCS,EQ,2609.5,2617,2648.6,2597.25,2621.55,2610.3,2614.52,2211766,5.7827E+14,83932,1686200,0.7624
1/06/2015,TCS,EQ,2610.3,2609.45,2647.1,2608.35,2615.2,2617.75,2622.43,441132,1.15684E+14,35794,251151,0.5693
2/06/2015,TCS,EQ,2617.75,2616,2630,2590.5,2605,2599.9,2605.54,1967910,5.12747E+14,54815,1605076,0.8156
